,link,marketcap,name,price,symbol,time
85,/currencies/elrond-egld,110777030,Elrond,8.08,EGLD,20201106145452
86,/currencies/cybervein,110741209,CyberVein,0.104433,CVT,20201106145452
87,/currencies/band-protocol,109403551,Band Protocol,5.34,BAND,20201106145452
88,/currencies/nxm,108811842,NXM,21.18,NXM,20201106145452
89,/currencies/nano,103888619,Nano,0.779662,NANO,20201106145452
90,/currencies/nexo,98701248,Nexo,0.176252,NEXO,20201106145452
91,/currencies/ravencoin,93613619,Ravencoin,0.012621,RVN,20201106145452
92,/currencies/golem-network-tokens,92596873,Golem,0.093469,GNT,20201106145452
93,/currencies/sushiswap,89194404,SushiSwap,0.605616,SUSHI,20201106145452
94,/currencies/dxchain-token,88245869,DxChain Token,0.001765,DX,20201106145452
95,/currencies/numeraire,87604139,Numeraire,23.79,NMR,20201106145452
96,/currencies/avalanche,87529899,Avalanche,3.57,AVAX,20201106145452
97,/currencies/bitcoin-diamond,85282659,Bitcoin Diamond,0.457297,BCD,20201106145452
98,/currencies/monacoin,85160916,MonaCoin,1.30,MONA,20201106145452
99,/currencies/solana,84463141,Solana,1.84,SOL,20201106145452
100,/currencies/bitcoin,286682819243,Bitcoin,15466.48,BTC,20201106155453
101,/currencies/ethereum,50032830970,Ethereum,441.52,ETH,20201106155453
102,/currencies/tether,16982336349,Tether,0.999791,USDT,20201106155453
103,/currencies/xrp,11519969313,XRP,0.254234,XRP,20201106155453
104,/currencies/bitcoin-cash,4731840419,Bitcoin Cash,254.88,BCH,20201106155453
105,/currencies/chainlink,4613389942,Chainlink,11.78,LINK,20201106155453
106,/currencies/binance-coin,4146175166,Binance Coin,28.71,BNB,20201106155453
107,/currencies/litecoin,4012182736,Litecoin,60.95,LTC,20201106155453
108,/currencies/polkadot-new,3813110549,Polkadot,4.47,DOT,20201106155453
109,/currencies/cardano,3352329564,Cardano,0.107749,ADA,20201106155453
110,/currencies/bitcoin-sv,3051078204,Bitcoin SV,164.36,BSV,20201106155453
111,/currencies/usd-coin,2850768302,USD Coin,0.999868,USDC,20201106155453
112,/currencies/eos,2348039034,EOS,2.50,EOS,20201106155453
113,/currencies/monero,2090937243,Monero,117.80,XMR,20201106155453
114,/currencies/wrapped-bitcoin,1899809097,Wrapped Bitcoin,15394.20,WBTC,20201106155453
115,/currencies/tron,1847643393,TRON,0.025784,TRX,20201106155453
116,/currencies/stellar,1731883112,Stellar,0.082789,XLM,20201106155453
117,/currencies/crypto-com-coin,1645013056,Crypto.com Coin,0.077669,CRO,20201106155453
118,/currencies/tezos,1521604708,Tezos,2.03,XTZ,20201106155453
119,/currencies/unus-sed-leo,1280885334,UNUS SED LEO,1.28,LEO,20201106155453
120,/currencies/neo,1098944367,Neo,15.58,NEO,20201106155453
121,/currencies/nem,1052370784,NEM,0.116930,XEM,20201106155453
122,/currencies/cosmos,973874254,Cosmos,4.74,ATOM,20201106155453
123,/currencies/multi-collateral-dai,956606820,Dai,1.01,DAI,20201106155453
124,/currencies/filecoin,923930267,Filecoin,31.52,FIL,20201106155453
125,/currencies/huobi-token,777829254,Huobi Token,3.76,HT,20201106155453
126,/currencies/iota,720121046,IOTA,0.259080,MIOTA,20201106155453
127,/currencies/vechain,709169206,VeChain,0.011026,VET,20201106155453
128,/currencies/theta,675037731,THETA,0.675038,THETA,20201106155453
129,/currencies/dash,674494294,Dash,68.82,DASH,20201106155453
130,/currencies/binance-usd,639981644,Binance USD,0.999700,BUSD,20201106155453
131,/currencies/zcash,616643504,Zcash,59.20,ZEC,20201106155453
132,/currencies/ethereum-classic,616579480,Ethereum Classic,5.30,ETC,20201106155453
133,/currencies/uniswap,547965633,Uniswap,2.55,UNI,20201106155453
134,/currencies/maker,531907606,Maker,530.24,MKR,20201106155453
135,/currencies/omg,443462684,OMG Network,3.16,OMG,20201106155453
136,/currencies/celsius,432845473,Celsius,1.81,CEL,20201106155453
137,/currencies/aave,407252298,Aave,35.93,AAVE,20201106155453
138,/currencies/uma,398116184,UMA,7.18,UMA,20201106155453
139,/currencies/compound,387366674,Compound,95.25,COMP,20201106155453
140,/currencies/ontology,364542791,Ontology,0.469897,ONT,20201106155453
141,/currencies/waves,362049930,Waves,3.50,WAVES,20201106155453
142,/currencies/dogecoin,349195065,Dogecoin,0.002750,DOGE,20201106155453
143,/currencies/synthetix-network-token,340600936,Synthetix Network Token,3.24,SNX,20201106155453
144,/currencies/ftx-token,337514583,FTX Token,3.58,FTT,20201106155453
145,/currencies/yearn-finance,332415237,yearn.finance,11092.45,YFI,20201106155453
146,/currencies/algorand,302971172,Algorand,0.272133,ALGO,20201106155453
147,/currencies/basic-attention-token,298376863,Basic Attention Token,0.200675,BAT,20201106155453
148,/currencies/bittorrent,295275162,BitTorrent,0.000298,BTT,20201106155453
149,/currencies/husd,286044655,HUSD,0.999192,HUSD,20201106155453
150,/currencies/digibyte,281663417,DigiByte,0.020529,DGB,20201106155453
